section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
D,ag_news_distilbert,42,1.0,,dp_avg_eps8.0_K5,0.8597,14.8,distilbert,8.0,5.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps8.0_K20,0.86,14.5,distilbert,8.0,20.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps32.0_K1,0.8604,14.5,distilbert,32.0,1.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps32.0_K5,0.86,14.5,distilbert,32.0,5.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps32.0_K20,0.8599,14.8,distilbert,32.0,20.0
D,ag_news_distilbert,42,1.0,,dp_avg_epsinf_K1,0.8609,14.9,distilbert,inf,1.0
D,ag_news_distilbert,42,1.0,,dp_avg_epsinf_K5,0.8601,14.7,distilbert,inf,5.0
D,ag_news_distilbert,42,1.0,,dp_avg_epsinf_K20,0.8603,14.8,distilbert,inf,20.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps0.5_K1,0.3005,14.8,distilbert,0.5,1.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps0.5_K5,0.2686,15.3,distilbert,0.5,5.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps0.5_K20,0.2671,14.4,distilbert,0.5,20.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps2.0_K1,0.2529,14.9,distilbert,2.0,1.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps2.0_K5,0.2679,14.1,distilbert,2.0,5.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps2.0_K20,0.2728,14.1,distilbert,2.0,20.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps8.0_K1,0.2593,14.2,distilbert,8.0,1.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps8.0_K5,0.2738,13.8,distilbert,8.0,5.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps8.0_K20,0.2746,14.0,distilbert,8.0,20.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps32.0_K1,0.2684,14.8,distilbert,32.0,1.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps32.0_K5,0.2745,15.5,distilbert,32.0,5.0
D,ag_news_distilbert,43,0.05,,dp_avg_eps32.0_K20,0.2747,14.1,distilbert,32.0,20.0
D,ag_news_distilbert,43,0.05,,dp_avg_epsinf_K1,0.2741,14.5,distilbert,inf,1.0
D,ag_news_distilbert,43,0.05,,dp_avg_epsinf_K5,0.2737,14.1,distilbert,inf,5.0
