task,C,seed,arrangement,cls,holders,n_holder,cos_mean,cos_top1,cos_top1_other,cos_rand
banking77,77,42,B,22,4,77,0.0805,0.1066,0.1032,0.0287
banking77,77,42,B,23,3,29,0.0633,0.0836,0.0978,0.0327
banking77,77,42,B,24,2,121,0.105,0.1279,0.1115,0.0301
banking77,77,42,B,25,3,137,0.0815,0.1188,0.1045,0.0265
banking77,77,42,B,26,4,152,0.064,0.1072,0.0848,0.0267
banking77,77,42,B,27,5,118,0.08,0.1153,0.1225,0.0306
banking77,77,42,B,28,5,164,0.0956,0.1358,0.1208,0.0288
banking77,77,42,B,29,4,115,0.0884,0.1224,0.1092,0.0298
banking77,77,42,B,30,6,109,0.0743,0.0926,0.0968,0.0298
banking77,77,42,B,31,2,114,0.1001,0.1316,0.1162,0.0263
banking77,77,42,B,32,5,98,0.0852,0.1156,0.1111,0.0256
banking77,77,42,B,33,4,105,0.1039,0.1458,0.13,0.0306
banking77,77,42,B,34,2,153,0.1124,0.1475,0.1501,0.0314
banking77,77,42,B,35,4,119,0.1016,0.1319,0.1295,0.03
banking77,77,42,B,36,5,112,0.0872,0.1238,0.1105,0.0243
banking77,77,42,B,37,4,87,0.0679,0.0939,0.096,0.0292
banking77,77,42,B,38,4,96,0.0897,0.1156,0.1182,0.0276
banking77,77,42,B,39,2,113,0.0905,0.1122,0.1154,0.0305
banking77,77,42,B,40,1,93,0.0789,0.1168,0.0971,0.0283
banking77,77,42,B,41,3,71,0.0634,0.087,0.0783,0.0301
banking77,77,42,B,42,2,111,0.094,0.1159,0.1101,0.0306
banking77,77,42,B,43,3,108,0.098,0.1248,0.1218,0.0302
banking77,77,42,B,44,4,86,0.0735,0.1083,0.0999,0.0289
banking77,77,42,B,45,3,139,0.0966,0.1198,0.1148,0.0257
banking77,77,42,B,46,5,127,0.0517,0.0855,0.0816,0.0213
banking77,77,42,B,47,2,135,0.0938,0.1187,0.1125,0.0273
banking77,77,42,B,48,5,138,0.082,0.1043,0.1039,0.0252
banking77,77,42,B,49,3,103,0.0759,0.1163,0.1037,0.0293
banking77,77,42,B,50,3,83,0.0892,0.1134,0.1034,0.0323
banking77,77,42,B,51,3,149,0.0971,0.1346,0.1287,0.0233
banking77,77,42,B,52,5,157,0.0753,0.1223,0.0923,0.0244
banking77,77,42,B,53,4,143,0.0824,0.1152,0.121,0.0288
