task,C,seed,access,eps,queries,fidelity,task_acc
dbpedia_14,14,44,label,4.0,5000,0.3185,0.6206
dbpedia_14,14,44,label,4.0,20000,0.6325,0.6206
dbpedia_14,14,44,label,4.0,50000,0.7664,0.6206
dbpedia_14,14,44,label,4.0,100000,0.8318,0.6206
dbpedia_14,14,44,label,2.0,1000,0.1138,0.2978
dbpedia_14,14,44,label,2.0,5000,0.1533,0.2978
dbpedia_14,14,44,label,2.0,20000,0.3148,0.2978
dbpedia_14,14,44,label,2.0,50000,0.4611,0.2978
dbpedia_14,14,44,label,2.0,100000,0.5722,0.2978
dbpedia_14,14,44,label,1.0,1000,0.0896,0.1466
dbpedia_14,14,44,label,1.0,5000,0.0977,0.1466
dbpedia_14,14,44,label,1.0,20000,0.1533,0.1466
dbpedia_14,14,44,label,1.0,50000,0.2058,0.1466
dbpedia_14,14,44,label,1.0,100000,0.2694,0.1466
dbpedia_14,14,44,label,0.5,1000,0.0811,0.1016
dbpedia_14,14,44,label,0.5,5000,0.0799,0.1016
dbpedia_14,14,44,label,0.5,20000,0.098,0.1016
dbpedia_14,14,44,label,0.5,50000,0.1186,0.1016
dbpedia_14,14,44,label,0.5,100000,0.1371,0.1016
dbpedia_14,14,44,probs,inf,1000,0.9989,0.7666
dbpedia_14,14,44,probs,inf,5000,1.0,0.7666
dbpedia_14,14,44,probs,inf,20000,1.0,0.7666
dbpedia_14,14,44,probs,inf,50000,1.0,0.7666
dbpedia_14,14,44,probs,inf,100000,1.0,0.7666
dbpedia_14,14,44,probs,8.0,1000,0.0794,0.0846
dbpedia_14,14,44,probs,8.0,5000,0.098,0.0846
dbpedia_14,14,44,probs,8.0,20000,0.1278,0.0846
dbpedia_14,14,44,probs,8.0,50000,0.1609,0.0846
dbpedia_14,14,44,probs,8.0,100000,0.2039,0.0846
dbpedia_14,14,44,probs,4.0,1000,0.0759,0.0756
dbpedia_14,14,44,probs,4.0,5000,0.0795,0.0756
dbpedia_14,14,44,probs,4.0,20000,0.0892,0.0756
dbpedia_14,14,44,probs,4.0,50000,0.1058,0.0756
dbpedia_14,14,44,probs,4.0,100000,0.1285,0.0756
dbpedia_14,14,44,probs,2.0,1000,0.0717,0.0726
dbpedia_14,14,44,probs,2.0,5000,0.0758,0.0726
dbpedia_14,14,44,probs,2.0,20000,0.0819,0.0726
dbpedia_14,14,44,probs,2.0,50000,0.0903,0.0726
dbpedia_14,14,44,probs,2.0,100000,0.0891,0.0726
dbpedia_14,14,44,probs,1.0,1000,0.076,0.0708
dbpedia_14,14,44,probs,1.0,5000,0.0741,0.0708
dbpedia_14,14,44,probs,1.0,20000,0.0761,0.0708
dbpedia_14,14,44,probs,1.0,50000,0.0718,0.0708
dbpedia_14,14,44,probs,1.0,100000,0.0722,0.0708
dbpedia_14,14,44,probs,0.5,1000,0.0703,0.07
dbpedia_14,14,44,probs,0.5,5000,0.0713,0.07
dbpedia_14,14,44,probs,0.5,20000,0.0741,0.07
dbpedia_14,14,44,probs,0.5,50000,0.075,0.07
dbpedia_14,14,44,probs,0.5,100000,0.078,0.07
banking77,77,42,label,inf,1000,0.0741,0.2386
banking77,77,42,label,inf,5000,0.1961,0.2386
banking77,77,42,label,inf,20000,0.4467,0.2386
banking77,77,42,label,inf,50000,0.6418,0.2386
banking77,77,42,label,inf,100000,0.7771,0.2386
banking77,77,42,label,8.0,1000,0.0739,0.2331
banking77,77,42,label,8.0,5000,0.1905,0.2331
banking77,77,42,label,8.0,20000,0.3793,0.2331
banking77,77,42,label,8.0,50000,0.4271,0.2331
banking77,77,42,label,8.0,100000,0.7217,0.2331
banking77,77,42,label,4.0,1000,0.0373,0.1075
banking77,77,42,label,4.0,5000,0.0508,0.1075
banking77,77,42,label,4.0,20000,0.1019,0.1075
banking77,77,42,label,4.0,50000,0.2398,0.1075
banking77,77,42,label,4.0,100000,0.3627,0.1075
banking77,77,42,label,2.0,1000,0.0169,0.0308
banking77,77,42,label,2.0,5000,0.0175,0.0308
banking77,77,42,label,2.0,20000,0.0255,0.0308
banking77,77,42,label,2.0,50000,0.0372,0.0308
banking77,77,42,label,2.0,100000,0.0505,0.0308
banking77,77,42,label,1.0,1000,0.015,0.0188
banking77,77,42,label,1.0,5000,0.014,0.0188
banking77,77,42,label,1.0,20000,0.0162,0.0188
banking77,77,42,label,1.0,50000,0.0171,0.0188
banking77,77,42,label,1.0,100000,0.0204,0.0188
banking77,77,42,label,0.5,1000,0.0146,0.014
banking77,77,42,label,0.5,5000,0.0138,0.014
banking77,77,42,label,0.5,20000,0.0149,0.014
banking77,77,42,label,0.5,50000,0.0154,0.014
banking77,77,42,label,0.5,100000,0.0161,0.014
banking77,77,42,probs,inf,1000,1.0,0.2237
banking77,77,42,probs,inf,5000,1.0,0.2237
banking77,77,42,probs,inf,20000,1.0,0.2237
banking77,77,42,probs,inf,50000,1.0,0.2237
banking77,77,42,probs,inf,100000,1.0,0.2237
banking77,77,42,probs,8.0,1000,0.0126,0.0123
banking77,77,42,probs,8.0,5000,0.0132,0.0123
banking77,77,42,probs,8.0,20000,0.0174,0.0123
banking77,77,42,probs,8.0,50000,0.0209,0.0123
banking77,77,42,probs,8.0,100000,0.0238,0.0123
banking77,77,42,probs,4.0,1000,0.0126,0.0123
banking77,77,42,probs,4.0,5000,0.0121,0.0123
banking77,77,42,probs,4.0,20000,0.0135,0.0123
banking77,77,42,probs,4.0,50000,0.0144,0.0123
banking77,77,42,probs,4.0,100000,0.0165,0.0123
banking77,77,42,probs,2.0,1000,0.0149,0.012
banking77,77,42,probs,2.0,5000,0.0145,0.012
banking77,77,42,probs,2.0,20000,0.0139,0.012
banking77,77,42,probs,2.0,50000,0.0135,0.012
banking77,77,42,probs,2.0,100000,0.0123,0.012
banking77,77,42,probs,1.0,1000,0.013,0.012
banking77,77,42,probs,1.0,5000,0.0116,0.012
banking77,77,42,probs,1.0,20000,0.0137,0.012
banking77,77,42,probs,1.0,50000,0.0138,0.012
banking77,77,42,probs,1.0,100000,0.0141,0.012
banking77,77,42,probs,0.5,1000,0.0135,0.0117
banking77,77,42,probs,0.5,5000,0.013,0.0117
banking77,77,42,probs,0.5,20000,0.0127,0.0117
banking77,77,42,probs,0.5,50000,0.0132,0.0117
banking77,77,42,probs,0.5,100000,0.0146,0.0117
banking77,77,43,label,inf,1000,0.0887,0.2016
banking77,77,43,label,inf,5000,0.203,0.2016
banking77,77,43,label,inf,20000,0.4375,0.2016
banking77,77,43,label,inf,50000,0.6412,0.2016
banking77,77,43,label,inf,100000,0.7773,0.2016
banking77,77,43,label,8.0,1000,0.0761,0.1987
banking77,77,43,label,8.0,5000,0.1989,0.1987
banking77,77,43,label,8.0,20000,0.3885,0.1987
banking77,77,43,label,8.0,50000,0.434,0.1987
banking77,77,43,label,8.0,100000,0.7248,0.1987
banking77,77,43,label,4.0,1000,0.037,0.0896
banking77,77,43,label,4.0,5000,0.0553,0.0896
banking77,77,43,label,4.0,20000,0.0972,0.0896
banking77,77,43,label,4.0,50000,0.243,0.0896
banking77,77,43,label,4.0,100000,0.3652,0.0896
banking77,77,43,label,2.0,1000,0.0162,0.0282
banking77,77,43,label,2.0,5000,0.0171,0.0282
banking77,77,43,label,2.0,20000,0.0229,0.0282
banking77,77,43,label,2.0,50000,0.0354,0.0282
banking77,77,43,label,2.0,100000,0.0527,0.0282
banking77,77,43,label,1.0,1000,0.015,0.0175
banking77,77,43,label,1.0,5000,0.0155,0.0175
banking77,77,43,label,1.0,20000,0.0147,0.0175
banking77,77,43,label,1.0,50000,0.0171,0.0175
banking77,77,43,label,1.0,100000,0.0191,0.0175
banking77,77,43,label,0.5,1000,0.0112,0.0123
banking77,77,43,label,0.5,5000,0.0133,0.0123
banking77,77,43,label,0.5,20000,0.014,0.0123
banking77,77,43,label,0.5,50000,0.0158,0.0123
banking77,77,43,label,0.5,100000,0.015,0.0123
banking77,77,43,probs,inf,1000,1.0,0.1763
banking77,77,43,probs,inf,5000,0.9998,0.1763
banking77,77,43,probs,inf,20000,1.0,0.1763
banking77,77,43,probs,inf,50000,1.0,0.1763
banking77,77,43,probs,inf,100000,0.9999,0.1763
banking77,77,43,probs,8.0,1000,0.013,0.0117
banking77,77,43,probs,8.0,5000,0.015,0.0117
banking77,77,43,probs,8.0,20000,0.0158,0.0117
banking77,77,43,probs,8.0,50000,0.021,0.0117
banking77,77,43,probs,8.0,100000,0.0225,0.0117
banking77,77,43,probs,4.0,1000,0.0129,0.011
banking77,77,43,probs,4.0,5000,0.0128,0.011
banking77,77,43,probs,4.0,20000,0.0141,0.011
banking77,77,43,probs,4.0,50000,0.0145,0.011
banking77,77,43,probs,4.0,100000,0.016,0.011
banking77,77,43,probs,2.0,1000,0.0114,0.0107
banking77,77,43,probs,2.0,5000,0.0151,0.0107
banking77,77,43,probs,2.0,20000,0.0153,0.0107
banking77,77,43,probs,2.0,50000,0.0132,0.0107
banking77,77,43,probs,2.0,100000,0.0149,0.0107
banking77,77,43,probs,1.0,1000,0.0123,0.0107
banking77,77,43,probs,1.0,5000,0.0135,0.0107
banking77,77,43,probs,1.0,20000,0.013,0.0107
banking77,77,43,probs,1.0,50000,0.0136,0.0107
banking77,77,43,probs,1.0,100000,0.0133,0.0107
banking77,77,43,probs,0.5,1000,0.0141,0.0107
banking77,77,43,probs,0.5,5000,0.0132,0.0107
banking77,77,43,probs,0.5,20000,0.0131,0.0107
banking77,77,43,probs,0.5,50000,0.0134,0.0107
banking77,77,43,probs,0.5,100000,0.0143,0.0107
banking77,77,44,label,inf,1000,0.0876,0.1782
