task,C,d,seed,arrangement,strategy,queries,fidelity,majority
banking77,77,768,43,A,disclosed,0,1.0,0.1215
banking77,77,768,43,A,logits,769,1.0,0.1215
banking77,77,768,43,A,random,200,0.1425,0.1215
banking77,77,768,43,A,random,500,0.1619,0.1215
banking77,77,768,43,A,random,1000,0.2224,0.1215
banking77,77,768,43,A,random,2000,0.2774,0.1215
banking77,77,768,43,A,random,5000,0.387,0.1215
banking77,77,768,43,A,random,10000,0.4916,0.1215
banking77,77,768,43,A,random,20000,0.5985,0.1215
banking77,77,768,43,A,random,50000,0.758,0.1215
banking77,77,768,43,A,random,100000,0.8403,0.1215
banking77,77,768,43,A,random,200000,0.8984,0.1215
banking77,77,768,43,A,boundary,200,0.0397,0.1215
banking77,77,768,43,A,boundary,500,0.0423,0.1215
banking77,77,768,43,A,boundary,1000,0.0767,0.1215
banking77,77,768,43,A,boundary,2000,0.1114,0.1215
banking77,77,768,43,A,boundary,5000,0.2917,0.1215
banking77,77,768,43,A,boundary,10000,0.3962,0.1215
banking77,77,768,43,A,boundary,20000,0.5239,0.1215
banking77,77,768,43,A,boundary,50000,0.6823,0.1215
banking77,77,768,43,A,boundary,100000,0.7755,0.1215
banking77,77,768,43,A,boundary,200000,0.8461,0.1215
banking77,77,768,43,B,disclosed,0,1.0,0.0817
banking77,77,768,43,B,logits,769,1.0,0.0817
banking77,77,768,43,B,random,200,0.0953,0.0817
banking77,77,768,43,B,random,500,0.1327,0.0817
banking77,77,768,43,B,random,1000,0.1751,0.0817
banking77,77,768,43,B,random,2000,0.2449,0.0817
banking77,77,768,43,B,random,5000,0.3745,0.0817
banking77,77,768,43,B,random,10000,0.4862,0.0817
banking77,77,768,43,B,random,20000,0.6064,0.0817
banking77,77,768,43,B,random,50000,0.7635,0.0817
banking77,77,768,43,B,random,100000,0.8458,0.0817
banking77,77,768,43,B,random,200000,0.901,0.0817
banking77,77,768,43,B,boundary,200,0.0782,0.0817
banking77,77,768,43,B,boundary,500,0.0143,0.0817
banking77,77,768,43,B,boundary,1000,0.0758,0.0817
banking77,77,768,43,B,boundary,2000,0.0678,0.0817
banking77,77,768,43,B,boundary,5000,0.2361,0.0817
banking77,77,768,43,B,boundary,10000,0.3645,0.0817
banking77,77,768,43,B,boundary,20000,0.4983,0.0817
banking77,77,768,43,B,boundary,50000,0.6819,0.0817
banking77,77,768,43,B,boundary,100000,0.7866,0.0817
banking77,77,768,43,B,boundary,200000,0.8502,0.0817
banking77,77,768,44,A,disclosed,0,1.0,0.0783
banking77,77,768,44,A,logits,769,1.0,0.0783
banking77,77,768,44,A,random,200,0.0963,0.0783
banking77,77,768,44,A,random,500,0.1191,0.0783
banking77,77,768,44,A,random,1000,0.1628,0.0783
banking77,77,768,44,A,random,2000,0.2208,0.0783
banking77,77,768,44,A,random,5000,0.3202,0.0783
banking77,77,768,44,A,random,10000,0.4262,0.0783
banking77,77,768,44,A,random,20000,0.5636,0.0783
banking77,77,768,44,A,random,50000,0.7301,0.0783
banking77,77,768,44,A,random,100000,0.8421,0.0783
banking77,77,768,44,A,random,200000,0.9019,0.0783
banking77,77,768,44,A,boundary,200,0.0378,0.0783
banking77,77,768,44,A,boundary,500,0.0496,0.0783
banking77,77,768,44,A,boundary,1000,0.0776,0.0783
banking77,77,768,44,A,boundary,2000,0.0576,0.0783
banking77,77,768,44,A,boundary,5000,0.2147,0.0783
banking77,77,768,44,A,boundary,10000,0.3353,0.0783
banking77,77,768,44,A,boundary,20000,0.4656,0.0783
banking77,77,768,44,A,boundary,50000,0.6593,0.0783
banking77,77,768,44,A,boundary,100000,0.772,0.0783
banking77,77,768,44,A,boundary,200000,0.8451,0.0783
banking77,77,768,44,B,disclosed,0,1.0,0.0735
banking77,77,768,44,B,logits,769,1.0,0.0735
banking77,77,768,44,B,random,200,0.0935,0.0735
banking77,77,768,44,B,random,500,0.1169,0.0735
banking77,77,768,44,B,random,1000,0.1561,0.0735
banking77,77,768,44,B,random,2000,0.2275,0.0735
banking77,77,768,44,B,random,5000,0.3483,0.0735
banking77,77,768,44,B,random,10000,0.4647,0.0735
banking77,77,768,44,B,random,20000,0.582,0.0735
banking77,77,768,44,B,random,50000,0.7579,0.0735
banking77,77,768,44,B,random,100000,0.8459,0.0735
banking77,77,768,44,B,random,200000,0.9035,0.0735
banking77,77,768,44,B,boundary,200,0.0432,0.0735
banking77,77,768,44,B,boundary,500,0.0106,0.0735
banking77,77,768,44,B,boundary,1000,0.0976,0.0735
banking77,77,768,44,B,boundary,2000,0.0659,0.0735
banking77,77,768,44,B,boundary,5000,0.2256,0.0735
banking77,77,768,44,B,boundary,10000,0.3272,0.0735
banking77,77,768,44,B,boundary,20000,0.481,0.0735
banking77,77,768,44,B,boundary,50000,0.6704,0.0735
banking77,77,768,44,B,boundary,100000,0.7815,0.0735
banking77,77,768,44,B,boundary,200000,0.8518,0.0735
