section,setup,backbone,alpha,probe_size,method,acc_mean,acc_std,n_seeds
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps2.0_K1,0.2535,0.0051,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps2.0_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps2.0_K20,0.3298,0.1385,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps8.0_K1,0.25,0.0001,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps8.0_K5,0.287,0.0641,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps8.0_K20,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps32.0_K1,0.2902,0.0557,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps32.0_K5,0.2501,0.0002,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps32.0_K20,0.25,0.0001,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_epsinf_K1,0.25,0.0001,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_epsinf_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_epsinf_K20,0.2503,0.0005,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps0.5_K1,0.2413,0.0405,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps0.5_K5,0.2593,0.016,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps0.5_K20,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps2.0_K1,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps2.0_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps2.0_K20,0.285,0.0582,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps8.0_K1,0.2588,0.0129,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps8.0_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps8.0_K20,0.2968,0.0558,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps32.0_K1,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps32.0_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps32.0_K20,0.2542,0.0073,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_epsinf_K1,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_epsinf_K5,0.25,0.0001,3
D,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_epsinf_K20,0.2676,0.0305,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps0.5_K1,0.2676,0.0797,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps0.5_K5,0.3716,0.0785,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps0.5_K20,0.6136,0.0654,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps2.0_K1,0.3583,0.0855,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps2.0_K5,0.5981,0.0758,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps2.0_K20,0.6944,0.038,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps8.0_K1,0.5777,0.114,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps8.0_K5,0.686,0.0645,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps8.0_K20,0.7868,0.0396,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps32.0_K1,0.647,0.07,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps32.0_K5,0.7852,0.0503,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_eps32.0_K20,0.807,0.0383,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_epsinf_K1,0.7935,0.0368,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_epsinf_K5,0.8089,0.035,3
D,cifar10_vit_b32,vit_b32,0.05,,dp_avg_epsinf_K20,0.8071,0.0366,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps0.5_K1,0.3487,0.0175,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps0.5_K5,0.529,0.0617,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps0.5_K20,0.7776,0.0516,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps2.0_K1,0.5022,0.0222,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps2.0_K5,0.7937,0.045,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps2.0_K20,0.8363,0.0551,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps8.0_K1,0.7609,0.0769,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps8.0_K5,0.8365,0.0526,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps8.0_K20,0.8765,0.0235,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps32.0_K1,0.8221,0.0609,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps32.0_K5,0.876,0.0247,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_eps32.0_K20,0.8838,0.0195,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_epsinf_K1,0.8775,0.0205,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_epsinf_K5,0.8835,0.0195,3
D,cifar10_vit_b32,vit_b32,0.1,,dp_avg_epsinf_K20,0.8841,0.0183,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps0.5_K1,0.6972,0.0064,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps0.5_K5,0.9092,0.0039,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps0.5_K20,0.9596,0.0014,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps2.0_K1,0.8743,0.0028,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps2.0_K5,0.96,0.0012,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps2.0_K20,0.9621,0.0012,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps8.0_K1,0.9578,0.0019,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps8.0_K5,0.962,0.0006,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps8.0_K20,0.9627,0.0006,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps32.0_K1,0.9623,0.0007,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps32.0_K5,0.9625,0.0005,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_eps32.0_K20,0.9627,0.0004,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_epsinf_K1,0.9627,0.0003,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_epsinf_K5,0.9626,0.0004,3
D,cifar10_vit_b32,vit_b32,1.0,,dp_avg_epsinf_K20,0.9629,0.0003,3
