combine,basin,N,alpha,seed,he_depth,theta0_acc,final_acc,vs_weight_avg,vs_centralized
mag_weighted,no-probe,5,0.1,42,depth-1,0.1181,0.5955,-0.005,-0.2738
sign_majority,no-probe,5,0.1,42,deep,0.1181,0.4933,-0.1072,-0.376
norm_normalized,no-probe,5,0.1,42,deep,0.1181,0.6,-0.0005,-0.2692
agreement_gated,no-probe,5,0.1,42,deep,0.1181,0.519,-0.0815,-0.3503
second_moment,no-probe,5,0.1,42,deep,0.1181,0.493,-0.1075,-0.3762
coord_trimmed_mean,no-probe,5,0.1,42,deep,0.1181,0.5148,-0.0857,-0.3545
consensus_proj,no-probe,5,0.1,42,deep,0.1181,0.6005,0.0,-0.2688
poly_gate_d2_a,no-probe,5,0.1,42,depth-2,0.1181,0.6065,0.006,-0.2627
poly_gate_d2_b,no-probe,5,0.1,42,depth-2,0.1181,0.5685,-0.032,-0.3008
sync_sgd,no-probe,5,0.1,42,deep(multi-round),0.1181,0.891,0.2905,0.0217
centralized,no-probe,5,0.1,42,n/a(pooled),0.1181,0.8692,0.2688,0.0
weight_avg,no-probe,5,0.1,123,depth-1,0.1016,0.5962,0.0,-0.2797
mag_weighted,no-probe,5,0.1,123,depth-1,0.1016,0.6205,0.0243,-0.2555
sign_majority,no-probe,5,0.1,123,deep,0.1016,0.6112,0.015,-0.2648
norm_normalized,no-probe,5,0.1,123,deep,0.1016,0.5475,-0.0487,-0.3285
agreement_gated,no-probe,5,0.1,123,deep,0.1016,0.508,-0.0882,-0.368
second_moment,no-probe,5,0.1,123,deep,0.1016,0.469,-0.1272,-0.407
coord_trimmed_mean,no-probe,5,0.1,123,deep,0.1016,0.527,-0.0692,-0.349
consensus_proj,no-probe,5,0.1,123,deep,0.1016,0.5962,0.0,-0.2797
poly_gate_d2_a,no-probe,5,0.1,123,depth-2,0.1016,0.5027,-0.0935,-0.3733
poly_gate_d2_b,no-probe,5,0.1,123,depth-2,0.1016,0.522,-0.0742,-0.354
sync_sgd,no-probe,5,0.1,123,deep(multi-round),0.1016,0.89,0.2937,0.014
centralized,no-probe,5,0.1,123,n/a(pooled),0.1016,0.876,0.2797,0.0
weight_avg,no-probe,5,0.5,42,depth-1,0.1181,0.817,0.0,-0.0563
mag_weighted,no-probe,5,0.5,42,depth-1,0.1181,0.8207,0.0038,-0.0525
sign_majority,no-probe,5,0.5,42,deep,0.1181,0.8263,0.0093,-0.047
norm_normalized,no-probe,5,0.5,42,deep,0.1181,0.8108,-0.0062,-0.0625
agreement_gated,no-probe,5,0.5,42,deep,0.1181,0.7502,-0.0667,-0.123
second_moment,no-probe,5,0.5,42,deep,0.1181,0.6447,-0.1722,-0.2285
coord_trimmed_mean,no-probe,5,0.5,42,deep,0.1181,0.7755,-0.0415,-0.0978
consensus_proj,no-probe,5,0.5,42,deep,0.1181,0.817,0.0,-0.0563
poly_gate_d2_a,no-probe,5,0.5,42,depth-2,0.1181,0.6118,-0.2052,-0.2615
poly_gate_d2_b,no-probe,5,0.5,42,depth-2,0.1181,0.7688,-0.0482,-0.1045
sync_sgd,no-probe,5,0.5,42,deep(multi-round),0.1181,0.8852,0.0683,0.012
centralized,no-probe,5,0.5,42,n/a(pooled),0.1181,0.8733,0.0563,0.0
weight_avg,no-probe,5,0.5,123,depth-1,0.1016,0.8353,0.0,-0.045
mag_weighted,no-probe,5,0.5,123,depth-1,0.1016,0.8418,0.0065,-0.0385
sign_majority,no-probe,5,0.5,123,deep,0.1016,0.8375,0.0022,-0.0428
norm_normalized,no-probe,5,0.5,123,deep,0.1016,0.8257,-0.0095,-0.0545
agreement_gated,no-probe,5,0.5,123,deep,0.1016,0.7818,-0.0535,-0.0985
second_moment,no-probe,5,0.5,123,deep,0.1016,0.732,-0.1033,-0.1482
coord_trimmed_mean,no-probe,5,0.5,123,deep,0.1016,0.7855,-0.0498,-0.0947
consensus_proj,no-probe,5,0.5,123,deep,0.1016,0.8353,0.0,-0.045
poly_gate_d2_a,no-probe,5,0.5,123,depth-2,0.1016,0.594,-0.2413,-0.2862
poly_gate_d2_b,no-probe,5,0.5,123,depth-2,0.1016,0.7728,-0.0625,-0.1075
sync_sgd,no-probe,5,0.5,123,deep(multi-round),0.1016,0.878,0.0428,-0.0022
centralized,no-probe,5,0.5,123,n/a(pooled),0.1016,0.8802,0.045,0.0
weight_avg,no-probe,5,1.0,42,depth-1,0.1181,0.82,0.0,-0.0343
mag_weighted,no-probe,5,1.0,42,depth-1,0.1181,0.8205,0.0005,-0.0337
